Actual_RUL,Predicted_RUL
125.0,125.821396
125.0,126.244934
125.0,126.04448
125.0,126.35565
125.0,126.20599
125.0,126.60779
125.0,126.269356
125.0,126.215454
125.0,126.17602
125.0,126.13062
125.0,126.30804
125.0,126.213745
125.0,126.100586
125.0,126.09421
125.0,126.226616
125.0,126.00278
125.0,126.325455
125.0,126.0343
125.0,125.957664
125.0,126.07746
125.0,125.8073
125.0,125.66856
125.0,125.9162
125.0,125.812515
125.0,125.665115
125.0,125.70509
125.0,125.62738
125.0,125.40372
125.0,125.099434
125.0,125.03494
125.0,126.02368
125.0,126.11562
125.0,125.95341
125.0,126.27713
125.0,126.314
125.0,126.37029
125.0,126.417694
125.0,126.53504
125.0,126.27101
125.0,126.064674
125.0,126.4289
125.0,126.01848
125.0,125.93929
125.0,125.886856
125.0,125.48511
125.0,125.139786
125.0,125.46974
125.0,124.983765
125.0,124.21967
125.0,124.46501
125.0,124.04526
125.0,124.01085
125.0,123.88454
125.0,123.848885
125.0,123.70361
125.0,123.3444
125.0,123.344795
125.0,123.3872
125.0,123.15814
125.0,123.173164
125.0,123.85553
125.0,124.09995
125.0,124.47953
125.0,124.815674
125.0,124.630394
125.0,124.537575
125.0,124.26643
125.0,123.96339
125.0,124.316536
125.0,123.7452
125.0,124.38606
125.0,124.06965
125.0,123.46077
125.0,123.94731
125.0,123.62371
125.0,124.14449
125.0,124.711754
125.0,124.83421
125.0,124.7449
125.0,125.362305
125.0,125.29841
125.0,125.11231
125.0,125.44313
125.0,125.46584
125.0,125.47055
125.0,125.323044
125.0,125.18391
125.0,125.16314
125.0,125.12542
125.0,125.269424
125.0,125.095276
125.0,124.92008
125.0,125.03074
125.0,125.03047
125.0,125.09535
125.0,124.97103
125.0,125.05244
125.0,124.55116
124.0,125.17981
123.0,125.17655
122.0,124.93307
121.0,124.43247
120.0,124.42976
119.0,124.212105
118.0,124.15631
117.0,123.824165
116.0,123.58762
115.0,123.8582
114.0,123.48914
113.0,123.55073
112.0,123.432724
111.0,123.61944
110.0,123.6659
109.0,123.807724
108.0,123.946846
107.0,124.26098
106.0,123.348946
105.0,123.53577
104.0,123.012825
103.0,123.12546
102.0,122.40665
101.0,122.08353
100.0,121.90297
99.0,121.369865
98.0,120.984955
97.0,120.86454
96.0,120.725395
95.0,119.886375
94.0,120.6078
93.0,121.143166
92.0,120.73748
91.0,120.7962
90.0,120.7664
89.0,120.31359
88.0,120.48595
87.0,119.819626
86.0,119.92541
85.0,120.5174
84.0,120.84375
83.0,121.28375
82.0,120.57604
81.0,120.91144
80.0,120.46736
79.0,120.48889
78.0,120.31385
77.0,120.970215
76.0,120.47954
75.0,121.06048
74.0,121.08135
73.0,120.97176
72.0,120.69562
71.0,120.0451
70.0,118.95785
69.0,118.495285
68.0,115.520935
67.0,111.44229
66.0,105.07849
65.0,99.51823
64.0,91.4738
63.0,93.818665
62.0,91.24615
61.0,85.33237
60.0,84.056114
59.0,79.06354
58.0,80.52594
57.0,76.191246
56.0,76.523895
55.0,77.50371
54.0,81.83978
53.0,80.24447
52.0,80.10007
51.0,80.7697
50.0,77.70747
49.0,71.785515
48.0,68.16053
47.0,70.108505
46.0,66.96495
45.0,69.40098
44.0,67.59011
43.0,65.922325
42.0,65.540344
41.0,59.68201
40.0,59.561462
39.0,58.180756
38.0,58.714165
37.0,58.013657
36.0,56.741528
35.0,58.660603
34.0,52.661835
33.0,53.58959
32.0,51.24849
31.0,47.70569
30.0,46.06816
29.0,44.938698
28.0,46.141544
27.0,48.698887
26.0,48.148155
25.0,45.11103
24.0,42.949295
23.0,41.988277
125.0,119.8551
125.0,120.063324
125.0,119.453964
125.0,119.58636
125.0,119.42838
125.0,119.52568
125.0,120.57153
125.0,120.73575
125.0,119.99236
125.0,119.97445
125.0,118.85814
125.0,117.977615
125.0,113.88671
125.0,114.697975
125.0,114.90719
125.0,115.7348
125.0,116.97291
125.0,116.77895
125.0,114.74884
125.0,109.368935
125.0,110.17848
125.0,112.9736
125.0,115.43681
125.0,117.62865
125.0,119.008766
125.0,118.81822
125.0,119.65612
125.0,119.78951
125.0,119.614075
125.0,119.38654
125.0,120.11375
125.0,120.20543
125.0,120.33922
125.0,120.16993
125.0,120.10812
125.0,119.877846
125.0,119.8049
125.0,119.57301
124.0,119.37743
123.0,119.25302
122.0,119.03588
121.0,117.835175
120.0,115.863785
119.0,104.42504
118.0,102.214325
117.0,100.54861
116.0,99.839096
115.0,94.92867
114.0,95.05616
113.0,96.070854
112.0,102.2654
111.0,105.22169
110.0,111.87807
109.0,114.38308
108.0,116.76735
107.0,116.901695
106.0,117.65247
105.0,117.897255
104.0,117.5963
103.0,116.59264
102.0,116.227684
101.0,112.461105
100.0,111.21363
99.0,108.15091
98.0,109.26083
97.0,108.79162
96.0,113.64896
95.0,117.28349
94.0,117.84964
93.0,118.5447
92.0,118.786606
91.0,118.27467
90.0,117.91345
89.0,117.641884
88.0,117.28844
87.0,117.73697
86.0,117.93889
85.0,118.19677
84.0,118.10942
83.0,117.39102
82.0,117.137474
81.0,117.04324
80.0,116.47857
79.0,114.43745
78.0,114.47144
77.0,106.974884
76.0,104.69852
75.0,98.921074
74.0,93.56529
73.0,90.77296
72.0,88.69378
71.0,87.96546
70.0,86.895386
69.0,84.02452
68.0,86.91956
67.0,88.8708
66.0,94.80944
65.0,94.6404
64.0,96.80834
63.0,98.03645
62.0,93.79356
61.0,93.66271
60.0,92.36708
59.0,93.042725
58.0,93.07996
57.0,93.36071
56.0,93.58109
55.0,94.79882
54.0,85.94977
53.0,83.785736
52.0,93.66788
51.0,94.91099
50.0,91.68745
49.0,91.30933
48.0,81.55367
47.0,73.8859
46.0,74.59847
45.0,75.0048
44.0,73.50175
43.0,73.86361
42.0,72.65865
41.0,67.43392
40.0,67.137474
125.0,122.30787
125.0,121.97601
125.0,122.02759
125.0,121.67087
125.0,121.85055
125.0,122.47271
125.0,121.97265
125.0,121.19112
125.0,121.44932
125.0,121.63833
125.0,121.39017
125.0,121.14685
125.0,121.03109
125.0,120.96511
125.0,121.17244
125.0,121.30842
125.0,121.972626
125.0,122.606026
125.0,122.02969
125.0,122.10485
125.0,121.89464
125.0,121.82866
125.0,121.62058
125.0,120.836586
125.0,119.94181
125.0,119.95508
125.0,119.86474
125.0,120.61241
125.0,120.96052
125.0,120.213844
125.0,120.097664
125.0,119.324265
125.0,117.280334
125.0,119.43101
125.0,119.80937
125.0,120.136604
125.0,120.32082
125.0,119.431335
125.0,120.42751
125.0,121.043205
125.0,121.49587
125.0,122.16344
125.0,122.3156
125.0,122.87401
125.0,123.14877
125.0,122.76509
125.0,122.94869
125.0,122.906364
125.0,122.57893
125.0,122.97789
125.0,122.59971
125.0,122.75242
125.0,121.99665
125.0,121.95275
